##########################################################################
       Name: Placement Bill of Materials Generator

    Version: 4 (2-sided, top)
         By: Small Batch Assembly
        URL: www.smallbatchassembly.com
 SourceFile: NovsSMTBlinkyRevD.brd
   DateTime: 8/1/2016 8:48 AM
      Units: inches
##########################################################################
REF,PACKAGE,VALUE,X,Y,ROTATION,
C1   , 1206            , CAP1206     , 0.6460, 0.5900, 270.0
FID1   , FID05MM            ,      , 0.1530, 0.1230, 0.0
FID2   , FID05MM            ,      , 1.1990, 3.2140, 0.0
IC1   , SO14            , 74HC164D     , 0.9750, 0.5750, 0.0
IC2   , SO14            , 74HC164D     , 0.3500, 0.9250, 180.0
JP1   , 1X10_SMD_EDGE            , M10SMD_EDGE     , 0.6750, 0.1250, 0.0
LED1   , LED-1206            ,      , 0.2250, 2.9250, 45.0
LED2   , LED-1206            ,      , 0.4500, 2.9250, 45.0
LED3   , LED-1206            ,      , 0.6750, 2.9250, 45.0
LED4   , LED-1206            ,      , 0.9000, 2.9250, 45.0
LED5   , LED-1206            ,      , 1.1250, 2.9250, 45.0
LED6   , LED-1206            ,      , 0.2250, 2.7000, 45.0
LED7   , LED-1206            ,      , 0.4500, 2.7000, 45.0
LED8   , LED-1206            ,      , 0.6750, 2.7000, 45.0
LED9   , LED-1206            ,      , 0.9000, 2.7000, 45.0
LED10   , LED-1206            ,      , 1.1250, 2.7000, 45.0
LED11   , LED-1206            ,      , 0.2250, 2.4750, 45.0
LED12   , LED-1206            ,      , 0.4500, 2.4750, 45.0
LED13   , LED-1206            ,      , 0.6750, 2.4750, 45.0
LED14   , LED-1206            ,      , 0.9000, 2.4750, 45.0
LED15   , LED-1206            ,      , 1.1250, 2.4750, 45.0
LED16   , LED-1206            ,      , 0.2250, 2.2500, 45.0
LED17   , LED-1206            ,      , 0.4500, 2.2500, 45.0
LED18   , LED-1206            ,      , 0.6750, 2.2500, 45.0
LED19   , LED-1206            ,      , 0.9000, 2.2500, 45.0
LED20   , LED-1206            ,      , 1.1250, 2.2500, 45.0
LED21   , LED-1206            ,      , 0.2250, 2.0250, 45.0
LED22   , LED-1206            ,      , 0.4500, 2.0250, 45.0
LED23   , LED-1206            ,      , 0.6750, 2.0250, 45.0
LED24   , LED-1206            ,      , 0.9000, 2.0250, 45.0
LED25   , LED-1206            ,      , 1.1250, 2.0250, 45.0
LED26   , LED-1206            ,      , 0.2250, 1.8000, 45.0
LED27   , LED-1206            ,      , 0.4500, 1.8000, 45.0
LED28   , LED-1206            ,      , 0.6750, 1.8000, 45.0
LED29   , LED-1206            ,      , 0.9000, 1.8000, 45.0
LED30   , LED-1206            ,      , 1.1250, 1.8000, 45.0
LED31   , LED-1206            ,      , 0.2250, 1.5750, 45.0
LED32   , LED-1206            ,      , 0.4500, 1.5750, 45.0
LED33   , LED-1206            ,      , 0.6750, 1.5750, 45.0
LED34   , LED-1206            ,      , 0.9000, 1.5750, 45.0
LED35   , LED-1206            ,      , 1.1250, 1.5750, 45.0
Q1   , SOT23-3            , ZXM61P02FTA     , 1.1000, 1.1250, 0.0
Q2   , SOT23-3            , MOSFET-PCHANNELSMD     , 0.3800, 1.2530, 0.0
Q3   , SOT23-3            , MOSFET-PCHANNELSMD     , 0.5300, 1.2530, 0.0
Q4   , SOT23-3            , MOSFET-PCHANNELSMD     , 0.6800, 1.2530, 0.0
Q5   , SOT23-3            , MOSFET-PCHANNELSMD     , 0.8300, 1.2530, 0.0
Q6   , SOT23-3            , ZXM61P02FTA     , 0.9800, 1.2530, 0.0
R1   , 1206            , 100     , 0.6500, 0.9250, 270.0
R2   , 1206            , 100     , 0.7500, 0.9250, 270.0
R3   , 1206            , 100     , 0.8500, 0.9250, 270.0
R4   , 1206            , 100     , 0.9500, 0.9250, 270.0
R5   , 1206            , 100     , 1.0500, 0.9250, 270.0
U1   , SO08-EIAJ            , Tiny85-20-SMT     , 0.3500, 0.5750, 90.0
